"","year","fips","leaid","enr_lep","enr_all","psenr_lep","psenr_all","ratio_lep"
"119",2017,"Alabama","0102550",103,1497,-6,-6,0.0688042752171009
"120",2017,"Alabama","0102580",184,4489,-14,-8,0.0409890844286033
"121",2017,"Alabama","0102610",5,1334,-4,28,0.00374812593703148
"122",2017,"Alabama","0102635",499,4076,-4,36,0.122423945044161
"123",2017,"Alabama","0102640",18,2088,-6,28,0.00862068965517241
"124",2017,"Alabama","0102650",89,3955,-10,31,0.0225031605562579
"125",2017,"Alabama","0102670",0,1312,0,36,0
"126",2017,"Alabama","0102700",226,7128,-12,168,0.031705948372615
"127",2017,"Alabama","0102730",39,2557,-14,-14,0.0152522487289793
"128",2017,"Alabama","0102760",12,1188,-4,34,0.0101010101010101
"129",2017,"Alabama","0102790",52,2193,-2,118,0.0237118103055176
"130",2017,"Alabama","0102820",102,2416,-6,66,0.0422185430463576
"131",2017,"Alabama","0102850",1,1558,-4,55,0.000641848523748395
"132",2017,"Alabama","0102880",50,3502,-8,38,0.0142775556824672
"133",2017,"Alabama","0102910",534,2456,-6,58,0.21742671009772
"134",2017,"Alabama","0102940",144,2519,-6,76,0.0571655418816991
"135",2017,"Alabama","0102970",1,3286,-22,131,0.000304321363359708
"136",2017,"Alabama","0103000",39,1032,-5,43,0.0377906976744186
"137",2017,"Alabama","0103030",1191,20593,-45,9,0.0578351867139319
"138",2017,"Alabama","0103062",377,9247,-17,203,0.0407699794527955
"139",2017,"Alabama","0103090",20,1540,-6,28,0.012987012987013
"140",2017,"Alabama","0103120",22,2166,-6,51,0.0101569713758079
"141",2017,"Alabama","0103150",55,2019,3,244,0.0272412085190688
"142",2017,"Alabama","0103180",68,7569,-26,86,0.00898401374025631
"143",2017,"Alabama","0103210",3,2877,-4,68,0.00104275286757039
"144",2017,"Alabama","0103240",15,1799,-4,35,0.00833796553640912
"145",2017,"Alabama","0103270",291,1185,-4,26,0.245569620253165
"146",2017,"Alabama","0103300",9,1157,-3,32,0.00777873811581677
"147",2017,"Alabama","0103330",61,2045,-6,26,0.0298288508557457
"148",2017,"Alabama","0103360",304,10558,-20,440,0.0287933320704679
"149",2017,"Alabama","0103390",964,18680,-20,402,0.0516059957173448
"150",2017,"Alabama","0103420",8,1497,-6,2,0.0053440213760855
"151",2017,"Alabama","0103430",656,7226,-4,20,0.0907832825906449
"152",2017,"Alabama","0103450",119,7424,-13,265,0.0160290948275862
"153",2017,"Alabama","0103480",1,2651,-14,-14,0.000377216144851
"154",2017,"Alabama","0103510",0,1685,-6,83,0
"155",2017,"Alabama","0103540",16,1249,-4,34,0.0128102481985588
"156",2017,"Alabama","0103580",4,2365,-10,56,0.00169133192389006
"157",2017,"Alaska","",28,143,-2,-2,0.195804195804196
"158",2017,"Alaska","0200001",2886,4247,-19,198,0.679538497763127
"159",2017,"Alaska","0200003",1420,1930,-3,10,0.735751295336788
"160",2017,"Alaska","0200004",356,463,-6,-6,0.76889848812095
"161",2017,"Alaska","0200005",188,336,0,11,0.55952380952381
"162",2017,"Alaska","0200006",39,430,-2,-2,0.0906976744186047
"163",2017,"Alaska","0200007",0,208,-4,21,0
"164",2017,"Alaska","0200010",1,31,-2,0,0.032258064516129
"165",2017,"Alaska","0200020",612,2002,-2,205,0.305694305694306
"166",2017,"Alaska","0200030",0,120,-4,5,0
"167",2017,"Alaska","0200050",123,397,-10,11,0.309823677581864
"168",2017,"Alaska","0200060",44,364,-4,13,0.120879120879121
"169",2017,"Alaska","0200070",2,448,-8,-7,0.00446428571428571
"170",2017,"Alaska","0200090",0,545,-8,-8,0
"171",2017,"Alaska","0200100",127,826,-8,11,0.153753026634383
"172",2017,"Alaska","0200120",3,490,-4,6,0.00612244897959184
"173",2017,"Alaska","0200130",97,4777,-6,1,0.0203056311492569
"174",2017,"Alaska","0200150",80,2360,-10,108,0.0338983050847458
"175",2017,"Alaska","0200180",6596,47246,-122,682,0.13960970240867
"176",2017,"Alaska","0200210",243,4771,-16,145,0.0509327185076504
"177",2017,"Alaska","0200240",52,1271,-10,11,0.040912667191188
"178",2017,"Alaska","0200270",0,276,-6,-6,0
"179",2017,"Alaska","0200300",0,133,-2,9,0
"180",2017,"Alaska","0200330",0,92,-4,-4,0
"181",2017,"Alaska","0200360",0,103,0,1,0
"182",2017,"Alaska","0200390",300,8893,-42,193,0.0337343978409985
"183",2017,"Alaska","0200450",0,126,-2,-2,0
"184",2017,"Alaska","0200480",387,2459,-24,44,0.157381049206995
"185",2017,"Alaska","0200485",0,347,-6,34,0
"186",2017,"Alaska","0200510",699,19293,-59,314,0.036230757269476
"187",2017,"Alaska","0200520",7,340,-10,-2,0.0205882352941176
"188",2017,"Alaska","0200525",0,324,-6,-6,0
"189",2017,"Alaska","0200540",38,1219,-2,-2,0.0311730926989336
"190",2017,"Alaska","0200570",47,707,-10,-10,0.0664780763790665
"191",2017,"Alaska","0200600",395,13823,-40,183,0.0285755624683499
"192",2017,"Alaska","0200610",398,2186,-6,274,0.182067703568161
"193",2017,"Alaska","0200625",191,2125,-6,143,0.0898823529411765
"194",2017,"Alaska","0200630",0,11,-2,-2,0
"195",2017,"Alaska","0200660",10,465,-4,1,0.021505376344086
"196",2017,"Alaska","0200670",0,69,-2,8,0
"197",2017,"Alaska","0200680",47,200,0,10,0.235
"198",2017,"Alaska","0200690",0,141,0,23,0
"199",2017,"Alaska","0200700",0,182,-8,-3,0
"200",2017,"Alaska","0200710",27,610,0,11,0.0442622950819672
"201",2017,"Alaska","0200715",0,49,-2,-2,0
"202",2017,"Alaska","0200720",115,476,-2,36,0.241596638655462
"203",2017,"Alaska","0200730",0,176,-8,-8,0
"204",2017,"Alaska","0200760",141,409,-6,52,0.344743276283619
"205",2017,"Alaska","0200770",8,973,-2,45,0.00822199383350463
"206",2017,"Alaska","0200775",0,237,0,5,0
"207",2017,"Alaska","0200780",5,648,-6,1,0.00771604938271605
"208",2017,"Alaska","0200800",10,444,-2,39,0.0225225225225225
"209",2017,"Alaska","0200810",0,304,-4,-3,0
"210",2017,"Alaska","0200840",2,83,-4,-4,0.0240963855421687
"211",2017,"Alaska","0200862",3,293,-6,18,0.0102389078498294
"212",2017,"Arizona","",70,1370,-4,467,0.0510948905109489
"213",2017,"Arizona","0400001",67,5784,-14,55,0.0115836791147994
"214",2017,"Arizona","0400003",98,2427,-6,176,0.0403790688092295
"215",2017,"Arizona","0400004",3,403,-2,-2,0.00744416873449132
"216",2017,"Arizona","0400005",44,140,0,9,0.314285714285714
"217",2017,"Arizona","0400016",282,1115,-10,-10,0.252914798206278
"218",2017,"Arizona","0400018",4,303,-2,-2,0.0132013201320132
"219",2017,"Arizona","0400019",0,289,-2,-2,0
"220",2017,"Arizona","0400020",5,184,-2,-2,0.0271739130434783
"221",2017,"Arizona","0400021",0,570,-2,69,0
"222",2017,"Arizona","0400022",1,99,-2,-2,0.0101010101010101
"223",2017,"Arizona","0400023",71,1114,-4,23,0.0637342908438061
